sample,assay,total_seconds,success_count,frame_count,prop_success
20190613_1546_icab_hni_R_q3,open_field,600,17627,18000,0.9792777777777778
20190614_1208_icab_icab_L_q1,novel_object,600,17629,18000,0.9793888888888889
20190615_1117_icab_kaga_L_q3,novel_object,600,17635,18000,0.9797222222222223
20190616_1622_icab_ho5_L_q4,open_field,600,17637,18000,0.9798333333333333
20190614_1430_icab_hdr_L_q4,open_field,600,17641,18000,0.9800555555555556
20190616_0923_icab_icab_L_q1,novel_object,600,17643,18000,0.9801666666666666
20190611_1658_icab_ho5_R_q3,open_field,600,17648,18000,0.9804444444444445
20190616_1651_icab_icab_L_q2,open_field,600,17649,18000,0.9805
20190615_1051_icab_hdr_L_q4,novel_object,600,17651,18000,0.9806111111111111
20190614_1335_icab_ho5_L_q1,open_field,600,17658,18000,0.981
20190616_1351_icab_ho5_L_q3,open_field,600,17665,18000,0.9813888888888889
20190613_1648_icab_ho5_R_q3,open_field,600,17668,18000,0.9815555555555555
20190615_1332_icab_icab_L_q1,novel_object,600,17676,18000,0.982
20190615_1549_icab_hni_L_q3,open_field,600,17681,18000,0.9822777777777778
20190613_1546_icab_hni_R_q4,novel_object,600,17683,18000,0.9823888888888889
20190615_1518_icab_kaga_L_q4,open_field,600,17685,18000,0.9825
20190615_1452_icab_hdr_L_q2,novel_object,600,17688,18000,0.9826666666666667
20190613_1338_icab_ho5_R_q4,open_field,600,17697,18000,0.9831666666666666
20190615_1332_icab_icab_L_q1,open_field,600,17701,18000,0.9833888888888889
20190616_0948_icab_hdr_L_q3,novel_object,600,17704,18000,0.9835555555555555
20190614_1644_icab_hni_L_q2,open_field,600,17707,18000,0.9837222222222223
20190615_1210_icab_ho5_R_q4,open_field,600,17707,18000,0.9837222222222223
20190616_1717_icab_icab_L_q3,novel_object,600,17712,18000,0.984
20190616_1351_icab_ho5_L_q1,open_field,600,17714,18000,0.9841111111111112
20190612_1604_icab_hni_R_q2,open_field,600,17718,18000,0.9843333333333333
20190615_1616_icab_hni_L_q3,novel_object,600,17718,18000,0.9843333333333333
20190615_1358_icab_icab_L_q3,open_field,600,17723,18000,0.9846111111111111
20190614_1307_icab_hdr_R_q1,novel_object,600,17727,18000,0.9848333333333333
20190614_1335_icab_ho5_L_q2,novel_object,600,17729,18000,0.9849444444444444
20190613_1511_icab_hdr_L_q4,open_field,600,17733,18000,0.9851666666666666
20190615_1549_icab_hni_L_q2,open_field,600,17733,18000,0.9851666666666666
20190615_1714_icab_icab_L_q3,open_field,600,17733,18000,0.9851666666666666
20190612_1326_icab_kaga_R_q2,novel_object,600,17143,17400,0.9852298850574712
20190616_1325_icab_hni_R_q2,novel_object,600,17738,18000,0.9854444444444445
20190614_1108_icab_ho5_L_q4,open_field,600,17742,18000,0.9856666666666667
20190615_1616_icab_hni_L_q1,open_field,600,17744,18000,0.9857777777777778
20190613_1617_icab_ho5_L_q4,open_field,600,17752,18000,0.9862222222222222
